Common Name English	AOU 	GenusSpecies	FourLetter
Leach's Storm-Petrel	1060	Oceanodroma leucorhoa	LESP
Least Auklet	200	Aethia pusilla	LEAU
Least Bittern	1910	Ixobrychus exilis	LEBI
Least Flycatcher	4670	Empidonax minimus	LEFL
Least Grebe	50	Tachybaptus dominicus	LEGR
Least Sandpiper	2420	Calidris minutilla	LESA
Least Storm-Petrel	1030	Oceanodroma microsoma	LSTP
Least Tern	740	Sternula antillarum	LETE
Lesser Black-backed Gull	500	Larus fuscus	LBBG
Lesser Goldfinch	5300	Spinus psaltria	LEGO
Lesser Greenlet	17440	Hylophilus decurtatus	LESG
Lesser Ground-Cuckoo	11780	Morococcyx erythropygus	LEGC
Lesser Nighthawk	4210	Chordeiles acutipennis	LENI
Lesser Prairie-Chicken	3070	Tympanuchus pallidicinctus	LEPC
Lesser Roadrunner	11790	Geococcyx velox	LERO
Lesser Scaup	1490	Aythya affinis	LESC
Lesser Yellow-headed Vulture	10230	Cathartes burrovianus	LYHV
Lesser Yellowlegs	2550	Tringa flavipes	LEYE
Lewis's Woodpecker	4080	Melanerpes lewis	LEWO
Lilac-crowned Parrot	11570	Amazona finschi	LCPA
Limpkin	2070	Aramus guarauna	LIMP
Lincoln's Sparrow	5830	Melospiza lincolnii	LISP
Lineated Woodpecker	14010	Dryocopus lineatus	LIWO
Little Blue Heron	2000	Egretta caerulea	LBHE
Little Egret	1961	Egretta garzetta	LIEG
Little Gull	601	Hydrocoloeus minutus	LIGU
Loggerhead Kingbird	4452	Tyrannus caudifasciatus	LOKI
Loggerhead Shrike	6220	Lanius ludovicianus	LOSH
Long-billed Curlew	2640	Numenius americanus	LBCU
Long-billed Dowitcher	2320	Limnodromus scolopaceus	LBDO
Long-billed Hermit	12370	Phaethornis longirostris	LBIH
Long-billed Thrasher	7060	Toxostoma longirostre	LBTH
Long-eared Owl	3660	Asio otus	LEOW
Long-tailed Duck	1540	Clangula hyemalis	LTDU
Long-tailed Jaeger	380	Stercorarius longicaudus	LTJA
Long-tailed Wood-Partridge	10640	Dendrortyx macroura	LTWP
Louisiana Waterthrush	6760	Parkesia motacilla	LOWA
Lucifer Hummingbird	4370	Calothorax lucifer	LUHU
Lucy's Warbler	6430	Oreothlypis luciae	LUWA
MacGillivray's Warbler	6800	Geothlypis tolmiei	MGWA
Magnificent Frigatebird	1280	Fregata magnificens	MAFR
Magnificent Hummingbird	4260	Eugenes fulgens	MAHU
Magnolia Warbler	6570	Setophaga magnolia	MAWA
Mallard	1320	Anas platyrhynchos	MALL
Mandarin Duck	20670	#N/A	#N/A
Mangrove Cuckoo	3860	Coccyzus minor	MACU
Mangrove Swallow	16170	Tachycineta albilinea	MANS
Mangrove Vireo	17280	Vireo pallens	MAVI
Manx Shearwater	900	Puffinus puffinus	MASH
Marbled Godwit	2490	Limosa fedoa	MAGO
Marbled Murrelet	230	Brachyramphus marmoratus	MAMU
Maroon-fronted Parrot	11380	Rhynchopsitta terrisi	MFPA
Marsh Wren	7250	Cistothorus palustris	MAWR
Masked Booby	1140	Sula dactylatra	MABO
Masked Duck	1680	Nomonyx dominicus	MADU
Masked Tityra	15890	Tityra semifasciata	MATI
McCown's Longspur	5390	Rhynchophanes mccownii	MCLO
McKay's Bunting	5350	Plectrophenax hyperboreus	MKBU
Melodious Blackbird	19170	Dives dives	MEBL
Merlin	3570	Falco columbarius	MERL
Mew Gull	550	Larus canus	MEGU
Mexican Chickadee	7370	Poecile sclateri	MECH
Mexican Jay	4820	Aphelocoma wollweberi	MEJA
Mexican Parrotlet	11410	Forpus cyanopygius	MEXP
Mexican Whip-poor-will	4172	Antrostomus arizonae	MWPW
Mexican Woodnymph	12710	Thalurania ridgwayi	MEWO
Military Macaw	11320	Ara militaris	MIMA
Mississippi Kite	3290	Ictinia mississippiensis	MIKI
Monk Parakeet	3824	Myiopsitta monachus	MOPA
Montezuma Quail	2960	Cyrtonyx montezumae	MONQ
Mottled Duck	1340	Anas fulvigula	MODU
Mottled Owl	3671	Ciccaba virgata	MOOW
Mountain Bluebird	7680	Sialia currucoides	MOBL
Mountain Chickadee	7380	Poecile gambeli	MOCH
Mountain Plover	2810	Charadrius montanus	MOPL
Mountain Quail	2920	Oreortyx pictus	MOUQ
Mountain Trogon	13310	Trogon mexicanus	MOTR
Mourning Dove	3160	Zenaida macroura	MODO
Mourning Warbler	6790	Geothlypis philadelphia	MOWA
Muscovy Duck	10210	Cairina moschata	MUDU
Mute Swan	1782	Cygnus olor	MUSW
Nanday Parakeet	51830	Aratinga nenday	NAPA
Nashville Warbler	6450	Oreothlypis ruficapilla	NAWA
Nelson's Sparrow	5491	Ammodramus nelsoni	NESP
Neotropic Cormorant	1210	Phalacrocorax brasilianus	NECO
Northern Beardless-Tyrannulet	4720	Camptostoma imberbe	NOBT
Northern Bobwhite	2890	Colinus virginianus	NOBO
Northern Cardinal	5930	Cardinalis cardinalis	NOCA
Northern Fulmar	860	Fulmarus glacialis	NOFU
Northern Gannet	1170	Morus bassanus	NOGA
Northern Goshawk	3340	Accipiter gentilis	NOGO
Northern Harrier	3310	Circus cyaneus	NOHA
Northern Hawk Owl	3770	Surnia ulula	NHOW
Northern Jacana	2880	Jacana spinosa	NOJA
Northern Mockingbird	7030	Mimus polyglottos	NOMO
Northern Parula	6480	Setophaga americana	NOPA
Northern Pintail	1430	Anas acuta	NOPI
Northern Potoo	12180	Nyctibius jamaicensis	NORP
Northern Pygmy-Owl	3790	Glaucidium gnoma	NOPO
Northern Rough-winged Swallow	6170	Stelgidopteryx serripennis	NRWS
Northern Saw-whet Owl	3720	Aegolius acadicus	NSWO
Northern Shoveler	1420	Anas clypeata	NSHO
Northern Shrike	6210	Lanius excubitor	NSHR
Northern Waterthrush	6750	Parkesia noveboracensis	NOWA
Northern Wheatear	7650	Oenanthe oenanthe	NOWH
Northwestern Crow	4890	Corvus caurinus	NOCR
Nuttall's Woodpecker	3970	Picoides nuttallii	NUWO
Nutting's Flycatcher	4531	Myiarchus nuttingi	NUFL
Oak Titmouse	7330	Baeolophus inornatus	OATI
Ocellated Thrasher	17130	Toxostoma ocellatum	OCTH
Ochre-bellied Flycatcher	15110	Mionectes oleagineus	OBFL
Olivaceous Woodcreeper	14330	Sittasomus griseicapillus	OLWO
Olive Sparrow	5860	Arremonops rufivirgatus	OLSP
Olive Warbler	6510	Peucedramus taeniatus	OLWA
Olive-sided Flycatcher	4590	Contopus cooperi	OSFL
Olive-throated Parakeet	11280	Eupsittula nana	OTPA
Orange Bishop	19500	Euplectes franciscanus	ORBI
Orange-billed Nightingale-Thrush	16890	Catharus aurantiirostris	OBNT
Orange-breasted Bunting	18620	Passerina leclancherii	OBBU
Orange-crowned Warbler	6460	Oreothlypis celata	OCWA
Orange-fronted Parakeet	11290	Eupsittula canicularis	OFPA
Orchard Oriole	5060	Icterus spurius	OROR
Ornate Hawk-Eagle	10460	Spizaetus ornatus	ORHE
Osprey	3640	Pandion haliaetus	OSPR
Ovenbird	6740	Seiurus aurocapilla	OVEN
Pacific Golden-Plover	2721	Pluvialis fulva	PAGP
Pacific Loon	100	Gavia pacifica	PALO
Pacific Wren	7221	Troglodytes pacificus	PAWR
Pacific-slope Flycatcher	4641	Empidonax difficilis	PSFL
Painted Bunting	6010	Passerina ciris	PABU
Painted Redstart	6880	Myioborus pictus	PARE
Pale-billed Woodpecker	14040	Campephilus guatemalensis	PBIW
Pale-vented Pigeon	10970	Patagioenas cayennensis	PVPI
Palm Warbler	6720	Setophaga palmarum	PAWA
Parakeet Auklet	170	Aethia psittacula	PAAU
Parasitic Jaeger	370	Stercorarius parasiticus	PAJA
Pectoral Sandpiper	2390	Calidris melanotos	PESA
Pelagic Cormorant	1230	Phalacrocorax pelagicus	PECO
Peregrine Falcon	3560	Falco peregrinus	PEFA
Phainopepla	6200	Phainopepla nitens	PHAI
Philadelphia Vireo	6260	Vireo philadelphicus	PHVI
Pied-billed Grebe	60	Podilymbus podiceps	PBGR
Pigeon Guillemot	290	Cepphus columba	PIGU
Pileated Woodpecker	4050	Dryocopus pileatus	PIWO
Pine Flycatcher	15520	Empidonax affinis	PINF
Pine Grosbeak	5150	Pinicola enucleator	PIGR
Pine Siskin	5330	Spinus pinus	PISI
Pine Warbler	6710	Setophaga pinus	PIWA
Pink-footed Shearwater	910	Puffinus creatopus	PFSH
Pinnated Bittern	1014	Botaurus pinnatus	PIBI
Pinyon Jay	4920	Gymnorhinus cyanocephalus	PIJA
Piping Plover	2770	Charadrius melodus	PIPL
Piratic Flycatcher	15790	Legatus leucophaius	PIFL
Plain Chachalaca	3110	Ortalis vetula	PLCH
Plain-capped Starthroat	4261	Heliomaster constantii	PCST
Plumbeous Kite	10280	Ictinia plumbea	PLKI
Plumbeous Vireo	6292	Vireo plumbeus	PLVI
Pomarine Jaeger	360	Stercorarius pomarinus	POJA
Prairie Falcon	3550	Falco mexicanus	PRFA
Prairie Warbler	6730	Setophaga discolor	PRAW
Prothonotary Warbler	6370	Protonotaria citrea	PROW
Purple Finch	5170	Haemorhous purpureus	PUFI
Purple Gallinule	2180	Porphyrio martinicus	PUGA
Purple Martin	6110	Progne subis	PUMA
Purple Sandpiper	2350	Calidris maritima	PUSA
Purple Swamphen	21930	#N/A	#N/A
Purplish-backed Jay	16290	Cyanocorax beecheii	PBJA
Pygmy Nuthatch	7300	Sitta pygmaea	PYNU
Pyrrhuloxia	5940	Cardinalis sinuatus	PYRR
Razorbill	320	Alca torda	RAZO
Red Crossbill	5210	Loxia curvirostra	RECR
Red Junglefowl	3094	Gallus gallus	REJU
Red Knot	2340	Calidris canutus	REKN
Red Phalarope	2220	Phalaropus fulicarius	REPH
Red Warbler	6910	Cardellina rubra	REWA
Red-bellied Woodpecker	4090	Melanerpes carolinus	RBWO
Red-billed Pigeon	3130	Patagioenas flavirostris	RBPI
Red-billed Tropicbird	1130	Phaethon aethereus	RBTR
Red-breasted Chat	17750	Granatellus venustus	RBRC
Red-breasted Merganser	1300	Mergus serrator	RBME
Red-breasted Nuthatch	7280	Sitta canadensis	RBNU
Red-breasted Sapsucker	4030	Sphyrapicus ruber	RBSA
Red-cockaded Woodpecker	3950	Picoides borealis	RCWO
Red-crowned Ant-Tanager	18260	Habia rubica	RCAT
Red-crowned Parrot	3826	Amazona viridigenalis	RCPA
Red-eyed Vireo	6240	Vireo olivaceus	REVI
Red-faced Cormorant	1240	Phalacrocorax urile	RFCO
Red-faced Warbler	6900	Cardellina rubrifrons	RFWA
Red-footed Booby	1160	Sula sula	RFBO
Red-headed Tanager	18320	Piranga erythrocephala	RHTA
Red-headed Woodpecker	4060	Melanerpes erythrocephalus	RHWO
Red-legged Honeycreeper	17970	Cyanerpes cyaneus	RLHO
Red-legged Kittiwake	410	Rissa brevirostris	RLKI
Red-lored Parrot	11580	Amazona autumnalis	RLPA
Red-naped Sapsucker	4021	Sphyrapicus nuchalis	RNSA
Red-necked Grebe	20	Podiceps grisegena	RNGR
Red-necked Phalarope	2230	Phalaropus lobatus	RNPH
Red-necked Stint	2422	Calidris ruficollis	RNST
Red-shouldered Hawk	3390	Buteo lineatus	RSHA
Red-tailed Hawk	3370	Buteo jamaicensis	RTHA
Red-throated Ant-Tanager	18270	Habia fuscicauda	RTAT
Red-throated Loon	110	Gavia stellata	RTLO
Red-throated Pipit	6990	Anthus cervinus	RTPI
Red-whiskered Bulbul	7261	Pycnonotus jocosus	RWBU
Red-winged Blackbird	4980	Agelaius phoeniceus	RWBL
Reddish Egret	1980	Egretta rufescens	REEG
Redhead	1460	Aythya americana	REDH
Rhinoceros Auklet	150	Cerorhinca monocerata	RHAU
Ridgway's Rail	2111	Rallus obsoletus	RIRA
Ring-billed Gull	540	Larus delawarensis	RBGU
Ring-necked Duck	1500	Aythya collaris	RNDU
Ring-necked Pheasant	3091	Phasianus colchicus	RNEP
Ringed Kingfisher	3901	Megaceryle torquata	RIKI
Roadside Hawk	3431	Buteo magnirostris	ROHA
Rock Pigeon	3131	Columba livia	ROPI
Rock Ptarmigan	3020	Lagopus muta	ROPT
Rock Sandpiper	2356	Calidris ptilocnemis	ROSA
Rock Wren	7150	Salpinctes obsoletus	ROWR
Rose-breasted Grosbeak	5950	Pheucticus ludovicianus	RBGR
Rose-ringed Parakeet	3823	Psittacula krameri	RRPA
Rose-throated Becard	4411	Pachyramphus aglaiae	RTBE
Roseate Spoonbill	1830	Platalea ajaja	ROSP
Roseate Tern	720	Sterna dougallii	ROST
Ross's Goose	1700	Chen rossii	ROGO
Ross's Gull	610	Rhodostethia rosea	ROGU
Rosy Thrush-Tanager	18400	Rhodinocichla rosea	ROTT
Rosy-faced Lovebird	61970	Agapornis roseicollis	RFLO
Rough-legged Hawk	3470	Buteo lagopus	RLHA
Royal Tern	650	Thalasseus maximus	ROYT
Ruby-crowned Kinglet	7490	Regulus calendula	RCKI
Ruby-throated Hummingbird	4280	Archilochus colubris	RTHU
Ruddy Crake	10800	Laterallus ruber	RUCR
Ruddy Duck	1670	Oxyura jamaicensis	RUDU
Ruddy Foliage-gleaner	14220	Clibanornis rubiginosus	RUFG
Ruddy Ground-Dove	3201	Columbina talpacoti	RUGD
Ruddy Quail-Dove	3221	Geotrygon montana	RUQD
Ruddy Turnstone	2830	Arenaria interpres	RUTU
Ruddy-breasted Seedeater	18850	Sporophila minuta	RBSE
Ruddy-capped Nightingale-Thrush	16920	Catharus frantzii	RCNT
Ruff	2600	Calidris pugnax	RUFF
Ruffed Grouse	3000	Bonasa umbellus	RUGR
Rufous Hummingbird	4330	Selasphorus rufus	RUHU
Rufous-backed Robin	7622	Turdus rufopalliatus	RBRO
Rufous-bellied Chachalaca	10572	Ortalis wagleri	RBEC
Rufous-browed Peppershrike	17480	Cyclarhis gujanensis	RBPE
Rufous-capped Brush-Finch	18690	Atlapetes pileatus	RCBF
Rufous-capped Warbler	6921	Basileuterus rufifrons	RCWA
Rufous-crowned Sparrow	5800	Aimophila ruficeps	RCSP
Rufous-necked Wood-Rail	10840	Aramides axillaris	RUWR
Rufous-winged Sparrow	5790	Peucaea carpalis	RWSP
Russet Nightingale-Thrush	16910	Catharus occidentalis	RUNT
Russet-crowned Motmot	13480	Momotus mexicanus	RCMO
Rusty Blackbird	5090	Euphagus carolinus	RUBL
Rusty Sparrow	19080	Aimophila rufescens	RUSP
Rusty-crowned Ground-Sparrow	18760	Melozone kieneri	RCGS
Sabine's Gull	620	Xema sabini	SAGU
Sage Thrasher	7020	Oreoscoptes montanus	SATH
Sagebrush Sparrow	5738	Artemisiospiza nevadensis	SABS
Saltmarsh Sparrow	5490	Ammodramus caudacutus	SALS
San Blas Jay	4831	Cyanocorax sanblasianus	SBJA
Sanderling	2480	Calidris alba	SAND
Sandhill Crane	2060	Grus canadensis	SACR
Sandwich Tern	670	Thalasseus sandvicensis	SATE
Savannah Sparrow	5420	Passerculus sandwichensis	SAVS
Say's Phoebe	4570	Sayornis saya	SAPH
Scaled Antpitta	14840	Grallaria guatimalensis	SCAA
Scaled Pigeon	10980	Patagioenas speciosa	SCPI
Scaled Quail	2930	Callipepla squamata	SCQU
Scarlet Macaw	11350	Ara macao	SCMA
Scarlet Tanager	6080	Piranga olivacea	SCTA
Scissor-tailed Flycatcher	4430	Tyrannus forficatus	STFL
Scott's Oriole	5040	Icterus parisorum	SCOR
Scrub Euphonia	18010	Euphonia affinis	SEUP
Seaside Sparrow	5500	Ammodramus maritimus	SESP
Sedge Wren	7240	Cistothorus platensis	SEWR
Semipalmated Plover	2740	Charadrius semipalmatus	SEPL
Semipalmated Sandpiper	2460	Calidris pusilla	SESA
Sharp-shinned Hawk	3320	Accipiter striatus	SSHA
Sharp-tailed Grouse	3080	Tympanuchus phasianellus	STGR
Sharp-tailed Sandpiper	2380	Calidris acuminata	SPTS
Shiny Cowbird	4961	Molothrus bonariensis	SHCO
Short-billed Dowitcher	2310	Limnodromus griseus	SBDO
Short-eared Owl	3670	Asio flammeus	SEOW
Short-tailed Hawk	3440	Buteo brachyurus	STHA
Short-tailed Shearwater	960	Puffinus tenuirostris	SRTS
Sierra Madre Sparrow	19110	Xenospiza baileyi	SMSP
Sinaloa Crow	16351	Corvus sinaloae	SICR
Sinaloa Martin	16160	Progne sinaloae	SIMA
Sinaloa Wren	16600	Thryophilus sinaloa	SIWR
Singing Quail	10720	Dactylortyx thoracicus	SIQU
Sky Lark	4730	Alauda arvensis	SKLA
Slate-colored Solitaire	16870	Myadestes unicolor	SCSO
Slate-throated Redstart	6890	Myioborus miniatus	STRE
Slaty Finch	18970	Haplospiza rustica	SLFI
Slaty-backed Gull	480	Larus schistisagus	SBGU
Smith's Longspur	5370	Calcarius pictus	SMLO
Smoky-brown Woodpecker	13910	Picoides fumigatus	SMBW
Smooth-billed Ani	3830	Crotophaga ani	SBAN
Snail Kite	3300	Rostrhamus sociabilis	SNKI
Snow Bunting	5340	Plectrophenax nivalis	SNBU
Snow Goose	1690	Chen caerulescens	SNGO
Snowy Egret	1970	Egretta thula	SNEG
Snowy Owl	3760	Bubo scandiacus	SNOW
Snowy Plover	2780	Charadrius nivosus	SNPL
Social Flycatcher	4500	Myiozetetes similis	SOFL
Solitary Eagle	10410	Buteogallus solitarius	SOEA
Solitary Sandpiper	2560	Tringa solitaria	SOSA
Song Sparrow	5810	Melospiza melodia	SOSP
Sooty Grouse	2971	Dendragapus fuliginosus	SOGR
Sooty Shearwater	950	Puffinus griseus	SOSH
Sooty Tern	750	Onychoprion fuscatus	SOTE
Sora	2140	Porzana carolina	SORA
Sparkling-tailed Hummingbird	13150	Tilmatura dupontii	SKTH
Spot-breasted Oriole	5032	Icterus pectoralis	SBOR
Spot-breasted Wren	16580	Pheugopedius maculipectus	SBSW
Spot-crowned Woodcreeper	14460	Lepidocolaptes affinis	SCRW
Spotted Dove	3151	Streptopelia chinensis	SPDO
Spotted Owl	3690	Strix occidentalis	SPOW
Spotted Rail	2122	Pardirallus maculatus	SPRA
Spotted Sandpiper	2630	Actitis macularius	SPSA
Spotted Towhee	5880	Pipilo maculatus	SPTO
Spotted Woodcreeper	14430	Xiphorhynchus erythropygius	SPWO
Spotted Wren	16460	Campylorhynchus gularis	SPWR
Sprague's Pipit	7000	Anthus spragueii	SPPI
Spruce Grouse	2980	Falcipennis canadensis	SPGR
Squirrel Cuckoo	11740	Piaya cayana	SQCU
Steller's Jay	4780	Cyanocitta stelleri	STJA
Stilt Sandpiper	2330	Calidris himantopus	STSA
Streak-backed Oriole	5051	Icterus pustulatus	SBAO
Streaked Flycatcher	15780	Myiodynastes maculatus	STRF
Striated Heron	10141	Butorides striata	STRH
Stripe-headed Sparrow	19050	Peucaea ruficauda	SHSP
Striped Sparrow	19090	Oriturus superciliosus	SSPA
Strong-billed Woodcreeper	14360	Xiphocolaptes promeropirhynchu	SNBW
Stygian Owl	11990	Asio stygius	STOW
Sulphur-bellied Flycatcher	4510	Myiodynastes luteiventris	SBFL
Summer Tanager	6100	Piranga rubra	SUTA
Sungrebe	10890	Heliornis fulica	SUNG
Surf Scoter	1660	Melanitta perspicillata	SUSC
Surfbird	2820	Calidris virgata	SURF
Swainson's Hawk	3420	Buteo swainsoni	SWHA
Swainson's Thrush	7580	Catharus ustulatus	SWTH
Swainson's Warbler	6380	Limnothlypis swainsonii	SWWA
Swallow-tailed Kite	3270	Elanoides forficatus	STKI
Swamp Sparrow	5840	Melospiza georgiana	SWSP
Tamaulipas Crow	4891	Corvus imparatus	TACR
Tamaulipas Pygmy-Owl	11950	Glaucidium sanchezi	TAPO
Tawny-collared Nightjar	12120	Antrostomus salvini	TCNI
Tawny-throated Leaftosser	14260	Sclerurus mexicanus	TTLE
Tennessee Warbler	6470	Oreothlypis peregrina	TEWA
Thayer's Gull	431	Larus thayeri	THGU
Thick-billed Kingbird	4451	Tyrannus crassirostris	TBKI
Thick-billed Murre	310	Uria lomvia	TBMU
Thick-billed Parrot	3821	Rhynchopsitta pachyrhyncha	TBPA
Thicket Tinamou	40080	Crypturellus cinnamomeus	THTI
Townsend's Shearwater	931	Puffinus auricularis	TOSH
Townsend's Solitaire	7540	Myadestes townsendi	TOSO
Townsend's Warbler	6680	Setophaga townsendi	TOWA
Transvolcanic Jay	4821	Aphelocoma ultramarina	TRJA
Tree Swallow	6140	Tachycineta bicolor	TRES
Tricolored Blackbird	5000	Agelaius tricolor	TRBL
Tricolored Heron	1990	Egretta tricolor	TRHE
Tropical Kingbird	4460	Tyrannus melancholicus	TRKI
Tropical Parula	6490	Setophaga pitiayumi	TRPA
Trumpeter Swan	1810	Cygnus buccinator	TRUS
Tufted Duck	1491	Aythya fuligula	TUDU
Tufted Flycatcher	15440	Mitrephanes phaeocercus	TUFL
Tufted Jay	16250	Cyanocorax dickeyi	TUJA
Tufted Puffin	120	Fratercula cirrhata	TUPU
Tufted Titmouse	7310	Baeolophus bicolor	TUTI
Tundra Swan	1800	Cygnus columbianus	TUSW
Turkey Vulture	3250	Cathartes aura	TUVU
Unicolored Jay	16350	Aphelocoma unicolor	UNJA
unid Black-crowned / Yellow-crowned Night-Heron	2035	#N/A	#N/A
unid. Accipiter Hawk	3333	#N/A	#N/A
unid. Alder Flycatcher / Willow Flycatcher	4665	#N/A	#N/A
unid. Arctic Loon / Pacific Loon	101	#N/A	#N/A
unid. Boat-tailed Grackle / Great-tailed Grackle	5135	#N/A	#N/A
unid. Brotogeris Parakeet	3827	#N/A	#N/A
unid. Bullock's Oriole / Baltimore Oriole	5077	#N/A	#N/A
unid. Buteo Hawk	3451	#N/A	#N/A
unid. Cave Swallow / Cliff Swallow	6122	#N/A	#N/A
unid. Cedar Waxwing / Bohemian Waxwing	6185	#N/A	#N/A
unid. Chickadee	7351	#N/A	#N/A
unid. Clapper / King Rail	2090	#N/A	#N/A
unid. Common Goldeneye / Barrow's Goldeneye	1512	#N/A	#N/A
unid. Common Murre / Thick-billed Murre	315	#N/A	#N/A
unid. Common Redpoll / Hoary Redpoll	5275	#N/A	#N/A
unid. Cordilleran / Pacific-slope Flycatcher	4642	#N/A	#N/A
unid. Cormorant	1207	#N/A	#N/A
unid. Cowbird	4955	#N/A	#N/A
unid. Crow	4881	#N/A	#N/A
unid. Cuckoo	3875	#N/A	#N/A
unid. Dusky Grouse / Sooty Grouse	2973	#N/A	#N/A
unid. Eastern Meadowlark / Western Meadowlark	5012	#N/A	#N/A
unid. Empidonax Flycatcher	4679	#N/A	#N/A
unid. Glossy Ibis / White-faced Ibis	1861	#N/A	#N/A
unid. Gnatcatcher	7539	#N/A	#N/A
unid. Golden-Plover	2722	#N/A	#N/A
unid. Greater Scaup / Lesser Scaup	1489	#N/A	#N/A
unid. Greater Yellowlegs / Lesser Yellowlegs	2555	#N/A	#N/A
unid. Gull	534	#N/A	#N/A
unid. Hammond's Flycatcher / Dusky Flycatcher	4689	#N/A	#N/A
unid. Heron / Egret	1945	#N/A	#N/A
unid. Hummingbird	4402	#N/A	#N/A
unid. Jaeger	387	#N/A	#N/A
unid. Kingbird	4447	#N/A	#N/A
unid. Loon	77	#N/A	#N/A
unid. Mexican / Eastern Whip-poor-will	4170	#N/A	#N/A
unid. Nelson's Sparrow / Saltmarsh Sparrow	5492	#N/A	#N/A
unid. Nighthawk	4205	#N/A	#N/A
unid. Northern Cardinal / Pyrrhuloxia	5935	#N/A	#N/A
unid. Oak Titmouse / Juniper Titmouse	7332	#N/A	#N/A
unid. Pacific Wren / Winter Wren	7220	#N/A	#N/A
unid. Plumbeous / Cassin's / Blue-headed Vireo	6295	#N/A	#N/A
unid. Purple Finch / Cassin's Finch / House Finch	5195	#N/A	#N/A
unid. Raven	4865	#N/A	#N/A
unid. Red Crossbill / White-winged Crossbill	5225	#N/A	#N/A
unid. Rosy-Finch	5241	#N/A	#N/A
unid. Ruby-throated / Black-chinned Hummingbird	4295	#N/A	#N/A
unid. Rufous Hummingbird / Allen's Hummingbird	4335	#N/A	#N/A
unid. Sagebrush Sparrow / Bell's Sparrow	5740	#N/A	#N/A
unid. Sapsucker	4022	#N/A	#N/A
unid. Scoter	1657	#N/A	#N/A
unid. Screech-Owl	3737	#N/A	#N/A
unid. Short-billed / Long-billed Dowitcher	2327	#N/A	#N/A
unid. small ''peep'' sandpiper	2429	#N/A	#N/A
unid. Spotted Towhee / Eastern Towhee	5871	#N/A	#N/A
unid. Tern	634	#N/A	#N/A
unid. Townsend's Warbler / Hermit Wabler	6685	#N/A	#N/A
unid. Tropical Kingbird / Couch's Kingbird	4462	#N/A	#N/A
unid. Tufted Titmouse / Black-crested Titmouse	7315	#N/A	#N/A
unid. Vulture	3255	#N/A	#N/A
unid. Western Grebe / Clark's Grebe	12	#N/A	#N/A
unid. Woodcreeper	14035	#N/A	#N/A
unid. Woodpecker	3920	#N/A	#N/A
unid. Yellow-bellied Sapsucker Complex	4032	#N/A	#N/A
Upland Sandpiper	2610	Bartramia longicauda	UPSA
Varied Bunting	6000	Passerina versicolor	VABU
Varied Thrush	7630	Ixoreus naevius	VATH
Variegated Flycatcher	4511	Empidonomus varius	VAFL
Vaux's Swift	4240	Chaetura vauxi	VASW
Veery	7560	Catharus fuscescens	VEER
Verdin	7460	Auriparus flaviceps	VERD
Vermiculated Screech-Owl	11851	Megascops guatemalae	VESO
Vermilion Flycatcher	4710	Pyrocephalus rubinus	VEFL
Vesper Sparrow	5400	Pooecetes gramineus	VESP
Violet-crowned Hummingbird	4391	Amazilia violiceps	VCHU
Violet-green Swallow	6150	Tachycineta thalassina	VGSW
Virginia Rail	2120	Rallus limicola	VIRA
Virginia's Warbler	6440	Oreothlypis virginiae	VIWA
Wandering Tattler	2590	Tringa incana	WATA
Warbling Vireo	6270	Vireo gilvus	WAVI
Wedge-rumped Storm-Petrel	1063	Oceanodroma tethys	WRSP
Wedge-tailed Sabrewing	12440	Campylopterus curvipennis	WTSA
Wedge-tailed Shearwater	961	Puffinus pacificus	WTSH
West Mexican Chachalaca	10570	Ortalis poliocephala	WMCH
Western Bluebird	7670	Sialia mexicana	WEBL
Western Grebe	10	Aechmophorus occidentalis	WEGR
Western Gull	490	Larus occidentalis	WEGU
Western Kingbird	4470	Tyrannus verticalis	WEKI
Western Meadowlark	5011	Sturnella neglecta	WEME
Western Sandpiper	2470	Calidris mauri	WESA
Western Screech-Owl	3732	Megascops kennicottii	WESO
Western Scrub-Jay	4810	Aphelocoma californica	WESJ
Western Tanager	6070	Piranga ludoviciana	WETA
Western Wood-Pewee	4620	Contopus sordidulus	WEWP
Whimbrel	2650	Numenius phaeopus	WHIM
Whiskered Auklet	190	Aethia pygmaea	WHAU
Whiskered Screech-Owl	3731	Megascops trichopsis	WHSO
White Ibis	1840	Eudocimus albus	WHIB
White Wagtail	6940	Motacilla alba	WHWA
White-bellied Emerald	12800	Amazilia candida	WBEM
White-bellied Wren	16700	Uropsila leucogastra	WBWR
White-breasted Nuthatch	7270	Sitta carolinensis	WBNU
White-breasted Wood-Wren	16720	Henicorhina leucosticta	WBWW
White-collared Seedeater	6020	Sporophila torqueola	WCSE
White-collared Swift	4221	Streptoprocne zonaris	WCSW
White-crowned Parrot	11490	Pionus senilis	WCPA
White-crowned Pigeon	3140	Patagioenas leucocephala	WCPI
White-crowned Sparrow	5540	Zonotrichia leucophrys	WCSP
White-eared Hummingbird	4401	Hylocharis leucotis	WEHU
White-eyed Vireo	6310	Vireo griseus	WEVI
White-faced Ibis	1870	Plegadis chihi	WFIB
White-faced Quail-Dove	11130	Zentrygon albifacies	WFAQ
White-fronted Parrot	11500	Amazona albifrons	WFPA
White-fronted Swift	12210	Cypseloides storeri	WFSW
White-headed Woodpecker	3990	Picoides albolarvatus	WHWO
White-naped Brush-Finch	18670	Atlapetes albinucha	WNBF
White-naped Swift	12230	Streptoprocne semicollaris	WNSW
